epoch,decorrelation/decoder_loss,decorrelation/discriminator_loss,decorrelation/encoder_loss,decorrelation/fake_accuracy,decorrelation/real_accuracy,decorrelation/test,_timestamp,_runtime
0,0.12687264,0.36243862,0.22430465,0.3671875,0.62890625,"[0.8 0.8 1.  0.8 0.8 1.  0.8 1.  0.8 1.  1.  0.8 0.8 0.8 0.8 1.  1.  0.8
 0.8 1.  1.  1.  0.8 0.8 0.8 1.  1.  1.  0.8 1.  1.  0.8 1.  0.8 1.  0.8
 0.8 1.  0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 1.  1.  0.8 1.  1.  0.8 0.8 1.
 1.  1.  0.8 1.  0.8 0.8 0.8 1.  1.  0.8 1.  1.  0.8 1.  1.  1.  1.  0.8
 1.  1.  1.  0.8 1.  1.  0.8 1.  1.  0.8 1.  1.  0.8 0.8 1.  0.8 1.  0.8
 1.  1.  1.  0.8 0.8 1.  0.8 1.  1.  1.  0.8 0.8 0.8 1.  0.8 0.8 0.8 0.8
 1.  0.8 1.  1.  1.  1.  0.8 0.8 0.8 0.8 0.8 0.8 1.  1.  0.8 0.8 0.8 1.
 1.  0.8 0.8 0.8 1.  1.  1.  0.8 0.8 0.8 1.  1.  0.8 0.8 0.8 1.  1.  0.8
 1.  0.8 1.  0.8 1.  0.8 0.8 0.8 0.8 0.8 1.  1.  0.8 0.8 0.8 1.  0.8 0.8
 0.8 0.8 0.8 1.  1.  0.8 0.8 1.  1.  0.8 0.8 1.  0.8 1.  0.8 1.  1.  0.8
 1.  1.  0.8 1.  1.  1.  1.  0.8 1.  0.8 0.8 0.8 1.  0.8 0.8 0.8 1.  0.8
 0.8 0.8 0.8 1.  0.8 1.  0.8 0.8 0.8 1.  0.8 0.8 0.8 0.8 0.8 0.8 1.  1.
 1.  0.8 1.  1.  1.  0.8 0.8 0.8 1.  1.  1.  0.8 0.8 1.  1.  0.8 1.  1.
 1.  0.8 0.8 0.8 0.8 1.  0.8 0.8 0.8 0.8 0.8 0.8 0.8 1.  1.  0.8 0.8 1.
 1.  0.8 1.  1. ]",1646726137,91
1,0.08858396,0.22910532,0.29851636,0.69140625,0.28125,"[0.8 0.8 1.  0.8 1.  1.  0.8 1.  0.8 0.8 1.  0.8 0.8 0.8 1.  0.8 0.8 0.8
 1.  0.8 1.  0.8 1.  0.8 1.  1.  0.8 1.  1.  0.8 1.  0.8 0.8 0.8 1.  1.
 0.8 1.  1.  0.8 0.8 0.8 0.8 0.8 1.  0.8 0.8 1.  1.  1.  1.  0.8 1.  0.8
 0.8 1.  0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 1.  1.  0.8 0.8
 0.8 0.8 1.  0.8 1.  1.  0.8 0.8 1.  0.8 0.8 1.  1.  1.  1.  1.  0.8 1.
 1.  1.  0.8 0.8 1.  1.  0.8 0.8 1.  1.  1.  0.8 1.  1.  0.8 0.8 1.  0.8
 0.8 1.  1.  0.8 0.8 0.8 0.8 1.  1.  1.  0.8 1.  1.  0.8 0.8 1.  0.8 0.8
 0.8 0.8 0.8 0.8 1.  1.  0.8 0.8 1.  1.  1.  1.  1.  0.8 1.  1.  1.  0.8
 1.  1.  0.8 0.8 0.8 0.8 1.  0.8 1.  1.  1.  0.8 0.8 1.  1.  1.  1.  1.
 1.  1.  0.8 0.8 0.8 0.8 1.  0.8 0.8 1.  1.  1.  1.  1.  0.8 1.  1.  1.
 0.8 0.8 0.8 1.  0.8 0.8 1.  1.  1.  0.8 1.  0.8 1.  1.  1.  1.  1.  1.
 1.  0.8 0.8 1.  1.  1.  0.8 1.  1.  0.8 1.  0.8 0.8 1.  0.8 1.  1.  0.8
 1.  1.  0.8 1.  0.8 0.8 0.8 0.8 1.  1.  1.  0.8 1.  0.8 1.  0.8 1.  1.
 1.  0.8 1.  0.8 1.  1.  0.8 1.  0.8 0.8 0.8 0.8 1.  0.8 1.  0.8 1.  0.8
 0.8 1.  0.8 1. ]",1646726140,94
